rozmiar,rozmiar_slownika_master,dlugosc_listy_tabu,kryterium_aspiracji,nr_permutacji,jakosc_wyniku
21,4,7,1,0,0.7690340909090909
21,4,7,1,1,0.8339494762784966
21,4,7,1,2,0.9099159663865546
21,4,7,2,0,0.9099159663865546
21,4,7,2,1,0.9099159663865546
21,4,7,2,2,0.9136010799865002
21,4,10,1,0,0.9136010799865002
21,4,10,1,1,0.9136010799865002
21,4,10,1,2,0.9136010799865002
21,4,10,2,0,0.9136010799865002
21,4,10,2,1,0.9136010799865002
21,4,10,2,2,0.9136010799865002
21,4,21,1,0,0.9136010799865002
21,4,21,1,1,0.9136010799865002
21,4,21,1,2,0.9494914065240266
21,4,21,2,0,0.9494914065240266
21,4,21,2,1,0.9494914065240266
21,4,21,2,2,0.9494914065240266
21,21,7,1,0,0.9494914065240266
21,21,7,1,1,0.9494914065240266
21,21,7,1,2,0.9494914065240266
21,21,7,2,0,0.9494914065240266
21,21,7,2,1,0.9494914065240266
21,21,7,2,2,0.9494914065240266
21,21,10,1,0,0.9494914065240266
21,21,10,1,1,0.9494914065240266
21,21,10,1,2,0.9494914065240266
21,21,10,2,0,0.9494914065240266
21,21,10,2,1,0.9494914065240266
21,21,10,2,2,0.9494914065240266
21,21,21,1,0,0.9494914065240266
21,21,21,1,1,0.9494914065240266
21,21,21,1,2,0.9494914065240266
21,21,21,2,0,0.9494914065240266
21,21,21,2,1,0.9494914065240266
21,21,21,2,2,0.9494914065240266
21,441,7,1,0,0.9494914065240266
21,441,7,1,1,0.9494914065240266
21,441,7,1,2,0.9494914065240266
21,441,7,2,0,0.9494914065240266
21,441,7,2,1,0.9494914065240266
21,441,7,2,2,0.9494914065240266
21,441,10,1,0,0.9494914065240266
21,441,10,1,1,0.9494914065240266
21,441,10,1,2,0.9494914065240266
21,441,10,2,0,0.9494914065240266
21,441,10,2,1,0.9494914065240266
21,441,10,2,2,0.9494914065240266
21,441,21,1,0,0.9494914065240266
21,441,21,1,1,0.9494914065240266
21,441,21,1,2,0.9494914065240266
21,441,21,2,0,0.9494914065240266
21,441,21,2,1,0.9494914065240266
21,441,21,2,2,0.9494914065240266
48,6,7,1,0,0.5597733271231176
48,6,7,1,1,0.5597733271231176
48,6,7,1,2,0.8243969360923745
48,6,7,2,0,0.8243969360923745
48,6,7,2,1,0.8243969360923745
48,6,7,2,2,0.8243969360923745
48,6,10,1,0,0.8243969360923745
48,6,10,1,1,0.8243969360923745
48,6,10,1,2,0.8243969360923745
48,6,10,2,0,0.8243969360923745
48,6,10,2,1,0.8243969360923745
48,6,10,2,2,0.8243969360923745
48,6,48,1,0,0.8243969360923745
48,6,48,1,1,0.8243969360923745
48,6,48,1,2,0.8243969360923745
48,6,48,2,0,0.8243969360923745
48,6,48,2,1,0.8243969360923745
48,6,48,2,2,0.8243969360923745
48,48,7,1,0,0.8243969360923745
48,48,7,1,1,0.8243969360923745
48,48,7,1,2,0.8243969360923745
48,48,7,2,0,0.8243969360923745
48,48,7,2,1,0.8243969360923745
48,48,7,2,2,0.8243969360923745
48,48,10,1,0,0.8243969360923745
48,48,10,1,1,0.8243969360923745
48,48,10,1,2,0.8243969360923745
48,48,10,2,0,0.8243969360923745
48,48,10,2,1,0.8243969360923745
48,48,10,2,2,0.8243969360923745
48,48,48,1,0,0.8243969360923745
48,48,48,1,1,0.8243969360923745
48,48,48,1,2,0.8243969360923745
48,48,48,2,0,0.8243969360923745
48,48,48,2,1,0.8243969360923745
48,48,48,2,2,0.8243969360923745
48,2304,7,1,0,0.8243969360923745
48,2304,7,1,1,0.8243969360923745
48,2304,7,1,2,0.8243969360923745
48,2304,7,2,0,0.8243969360923745
48,2304,7,2,1,0.8243969360923745
48,2304,7,2,2,0.8243969360923745
48,2304,10,1,0,0.8243969360923745
48,2304,10,1,1,0.8243969360923745
48,2304,10,1,2,0.8243969360923745
48,2304,10,2,0,0.8243969360923745
48,2304,10,2,1,0.8243969360923745
48,2304,10,2,2,0.8243969360923745
48,2304,48,1,0,0.8243969360923745
48,2304,48,1,1,0.8243969360923745
48,2304,48,1,2,0.8243969360923745
48,2304,48,2,0,0.8243969360923745
48,2304,48,2,1,0.8243969360923745
48,2304,48,2,2,0.8243969360923745
71,8,7,1,0,0.42053051541945224
71,8,7,1,1,0.42053051541945224
71,8,7,1,2,0.42053051541945224
71,8,7,2,0,0.4210753616929389
71,8,7,2,1,0.4210753616929389
71,8,7,2,2,0.4210753616929389
71,8,10,1,0,0.4210753616929389
71,8,10,1,1,0.4210753616929389
71,8,10,1,2,0.4210753616929389
71,8,10,2,0,0.45646067415730335
71,8,10,2,1,0.45646067415730335
71,8,10,2,2,0.45646067415730335
71,8,71,1,0,0.45646067415730335
71,8,71,1,1,0.45646067415730335
71,8,71,1,2,0.45646067415730335
71,8,71,2,0,0.47537786445636276
71,8,71,2,1,0.47537786445636276
71,8,71,2,2,0.47537786445636276
71,71,7,1,0,0.47537786445636276
71,71,7,1,1,0.47537786445636276
71,71,7,1,2,0.47537786445636276
71,71,7,2,0,0.47537786445636276
71,71,7,2,1,0.47537786445636276
71,71,7,2,2,0.47537786445636276
71,71,10,1,0,0.47537786445636276
71,71,10,1,1,0.47537786445636276
71,71,10,1,2,0.47537786445636276
71,71,10,2,0,0.47537786445636276
71,71,10,2,1,0.47537786445636276
71,71,10,2,2,0.47537786445636276
71,71,71,1,0,0.47537786445636276
71,71,71,1,1,0.47537786445636276
71,71,71,1,2,0.47537786445636276
71,71,71,2,0,0.47537786445636276
71,71,71,2,1,0.47537786445636276
71,71,71,2,2,0.47537786445636276
71,5041,7,1,0,0.47537786445636276
71,5041,7,1,1,0.47537786445636276
71,5041,7,1,2,0.47537786445636276
71,5041,7,2,0,0.47537786445636276
71,5041,7,2,1,0.47537786445636276
71,5041,7,2,2,0.47537786445636276
71,5041,10,1,0,0.47537786445636276
71,5041,10,1,1,0.47537786445636276
71,5041,10,1,2,0.47537786445636276
71,5041,10,2,0,0.47537786445636276
71,5041,10,2,1,0.47537786445636276
71,5041,10,2,2,0.47537786445636276
71,5041,71,1,0,0.47537786445636276
71,5041,71,1,1,0.47537786445636276
71,5041,71,1,2,0.47537786445636276
71,5041,71,2,0,0.47537786445636276
71,5041,71,2,1,0.47537786445636276
71,5041,71,2,2,0.47537786445636276
120,10,7,1,0,0.21277508735364434
120,10,7,1,1,0.21277508735364434
120,10,7,1,2,0.21277508735364434
120,10,7,2,0,0.21277508735364434
120,10,7,2,1,0.21277508735364434
120,10,7,2,2,0.21277508735364434
120,10,10,1,0,0.21277508735364434
120,10,10,1,1,0.21277508735364434
120,10,10,1,2,0.21277508735364434
120,10,10,2,0,0.21277508735364434
120,10,10,2,1,0.21277508735364434
120,10,10,2,2,0.21277508735364434
120,10,120,1,0,0.21277508735364434
120,10,120,1,1,0.21277508735364434
120,10,120,1,2,0.21277508735364434
120,10,120,2,0,0.21277508735364434
120,10,120,2,1,0.21277508735364434
120,10,120,2,2,0.21277508735364434
120,120,7,1,0,0.21277508735364434
120,120,7,1,1,0.21277508735364434
120,120,7,1,2,0.21277508735364434
120,120,7,2,0,0.21277508735364434
120,120,7,2,1,0.21277508735364434
120,120,7,2,2,0.21277508735364434
120,120,10,1,0,0.21277508735364434
120,120,10,1,1,0.21277508735364434
120,120,10,1,2,0.21277508735364434
120,120,10,2,0,0.21277508735364434
120,120,10,2,1,0.21277508735364434
120,120,10,2,2,0.21277508735364434
120,120,120,1,0,0.21277508735364434
120,120,120,1,1,0.21277508735364434
120,120,120,1,2,0.21277508735364434
120,120,120,2,0,0.21277508735364434
120,120,120,2,1,0.21277508735364434
120,120,120,2,2,0.21277508735364434
120,14400,7,1,0,0.21277508735364434
120,14400,7,1,1,0.21277508735364434
120,14400,7,1,2,0.21277508735364434
120,14400,7,2,0,0.21277508735364434
120,14400,7,2,1,0.21277508735364434
120,14400,7,2,2,0.21277508735364434
120,14400,10,1,0,0.21277508735364434
120,14400,10,1,1,0.21277508735364434
120,14400,10,1,2,0.21277508735364434
120,14400,10,2,0,0.21277508735364434
120,14400,10,2,1,0.21277508735364434
120,14400,10,2,2,0.21277508735364434
120,14400,120,1,0,0.21277508735364434
120,14400,120,1,1,0.21277508735364434
120,14400,120,1,2,0.21277508735364434
120,14400,120,2,0,0.21277508735364434
120,14400,120,2,1,0.21277508735364434
120,14400,120,2,2,0.21277508735364434
323,17,7,1,0,0.23485653560042508
323,17,7,1,1,0.23485653560042508
323,17,7,1,2,0.24254618620815804
323,17,7,2,0,0.24254618620815804
323,17,7,2,1,0.24254618620815804
323,17,7,2,2,0.24254618620815804
323,17,10,1,0,0.24254618620815804
323,17,10,1,1,0.24254618620815804
323,17,10,1,2,0.24254618620815804
323,17,10,2,0,0.24254618620815804
323,17,10,2,1,0.24254618620815804
323,17,10,2,2,0.24254618620815804
323,17,323,1,0,0.24254618620815804
323,17,323,1,1,0.24254618620815804
323,17,323,1,2,0.24254618620815804
323,17,323,2,0,0.24254618620815804
323,17,323,2,1,0.24254618620815804
323,17,323,2,2,0.24254618620815804
323,323,7,1,0,0.24254618620815804
323,323,7,1,1,0.24254618620815804
323,323,7,1,2,0.24254618620815804
323,323,7,2,0,0.24254618620815804
323,323,7,2,1,0.24254618620815804
323,323,7,2,2,0.24254618620815804
323,323,10,1,0,0.24254618620815804
323,323,10,1,1,0.24254618620815804
323,323,10,1,2,0.24254618620815804
323,323,10,2,0,0.24254618620815804
323,323,10,2,1,0.24254618620815804
323,323,10,2,2,0.24254618620815804
323,323,323,1,0,0.24254618620815804
323,323,323,1,1,0.24254618620815804
323,323,323,1,2,0.24254618620815804
323,323,323,2,0,0.24254618620815804
323,323,323,2,1,0.24254618620815804
323,323,323,2,2,0.24254618620815804
323,104329,7,1,0,0.24254618620815804
323,104329,7,1,1,0.24254618620815804
323,104329,7,1,2,0.24254618620815804
323,104329,7,2,0,0.24254618620815804
323,104329,7,2,1,0.24254618620815804
323,104329,7,2,2,0.24254618620815804
323,104329,10,1,0,0.24254618620815804
323,104329,10,1,1,0.24254618620815804
323,104329,10,1,2,0.24254618620815804
323,104329,10,2,0,0.24254618620815804
323,104329,10,2,1,0.24254618620815804
323,104329,10,2,2,0.24254618620815804
323,104329,323,1,0,0.24254618620815804
323,104329,323,1,1,0.24254618620815804
323,104329,323,1,2,0.24254618620815804
323,104329,323,2,0,0.24254618620815804
323,104329,323,2,1,0.24254618620815804
323,104329,323,2,2,0.24254618620815804
